#Time       v(a0)      v(sum0)    v(sum1)    v(sum2)    v(sum3)    v(sum4)    v(sum5)    v(sum6)    v(sum7)    v(cout)   
 0.        -145.E-15   1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        10.552E-9 
 200.E-12   1.8        1.7998     1.8        1.8        1.8        1.8        1.8        1.8        1.8        111.87E-9 
 400.E-12   1.8        1.8001     1.8        1.8        1.8        1.8        1.8        1.8        1.8       -71.297E-9 
 600.E-12   1.8        1.7995     1.8        1.8        1.8        1.8        1.8        1.8        1.8        60.416E-9 
 800.E-12   1.8        0.79966    1.8247     1.8        1.8        1.8        1.8        1.8        1.8        6.0489E-9 
 1.E-9      1.8       -5.3374E-6 -0.0035801  1.7999     1.8        1.8        1.8        1.8        1.8        5.5399E-9 
 1.2E-9     1.8        4.6978E-6  862.37E-6  1.8091     1.8        1.8        1.8        1.8        1.8        16.254E-9 
 1.4E-9     1.8       -16.993E-6  557.55E-6  0.069278   1.7999     1.8        1.8        1.8        1.8        16.222E-9 
 1.6E-9     1.8       -29.146E-6  389.73E-6  0.015105   1.7557     1.8        1.8        1.8        1.8        12.927E-9 
 1.8E-9     1.8       -37.227E-6  281.32E-6  0.0035106 -0.14031    1.8        1.8        1.8        1.8        9.1257E-9 
 2.E-9      1.8       -42.771E-6  208.47E-6  823.29E-6 -0.056493   1.8126     1.8        1.8        1.8        3.8827E-9 
 2.2E-9     1.8       -46.669E-6  158.97E-6  243.5E-6  -0.024131   0.22109    1.7999     1.8        1.8       -2.2925E-9 
 2.4E-9     1.8       -49.486E-6  124.22E-6  73.994E-6 -0.010566   0.033359   1.7651     1.8        1.8       -9.2864E-9 
 2.6E-9     1.8        49.489E-6 -74.676E-6 -11.92E-6   0.0016439 -675.72E-6 -0.057243   1.7999     1.8        39.494E-9 
 2.8E-9     1.8       -52.651E-6  52.053E-6  15.064E-6 -391.75E-6  33.057E-6  0.0044714  1.8162     1.8       -30.226E-9 
